войти: войти
смерть: смерть
действовать: действовать
подробный: подробнее
паула: паулу
декабрь: декабря
статья: статьи статья
год: год года году
ошибка: ошибке
епископ: епископ епископа епископом епископы
пётр: петра пётр
описание: описание
авторство: авторства
материал: материал
иоанн: иоанн
католический: католические католический
сентябрь: сентября
состояться: состоялось
заглавный: заглавная
гуаном: гуаном
содержание: содержание
кит: кит
поиск: поиск поиску
геоцепочка: геоцепочками
церковь: церковь
октаба: октабы
обсуждение: обсуждение
свежий: свежие
скончаться: скончался
смотреть: см
кук: куки
код: код
инструмент: инструменты
справка: справка
новый: новые
страница: страница странице страницу страницы
сослужение: сослужении
деятельность: деятельность
чэнь: чэнь
участие: участие
батист: батист
элемент: элемент
гонконг: гонконг гонконга гонконге
условие: условий условия
священный: священного
читать: читать
запись: запись
форум: форум
мы: нами
википедия: википедии википедия
представиться: представились
этот: эта
рукоположить: рукоположён
текущий: текущие
священник: священник священника
иерарх: иерархи
создать: создать
правка: правки
имя: имён
принятие: принятие
сан: сана
хосе: хосе
прелат: прелат
текст: текст
кодекс: кодекс
республика: республика
история: история
печать: печати
назначить: назначил
постоянный: постоянная
тайбэя: тайбэя
мобильный: мобильная
викидать: викиданных
алфавит: алфавиту
ван: ван
гуанчжоу: гуанчжоу
квалификатор: квалификаторах
энциклопедия: энциклопедии
пространство: пространства
преемник: преемник
умерший: умершие
использовать: использующие
русский: русский
таварехать: таварешем
пожертвовать: пожертвовать
доступный: доступен
китай: китая
родиться: родившиеся
знак: знак
язык: языках
римский: римский
источник: источник
некоммерческий: некоммерческой
учётный: учётную
событие: события
биография: биография
получить: получить
совершить: совершил
короткий: короткий
расширение: расширение
сообщество: сообщество
заявление: заявление
случай: случаях
сюда: сюда
скачать: скачать
товарный: товарный
викимедиа: викимедиа
ответственность: ответственности
вклад: вклад
великобритания: великобритания
архиепископ: архиепископом
использование: использования
персональный: персональные
франциск: франциск
случайный: случайная
рукоположение: рукоположение
епископский: епископская
титулярный: титулярным
отредактировать: отредактирована
система: системе
британский: британский британском
ссылка: ссылка ссылки
персоналия: персоналии
макао: макао
сведение: сведения
категория: категории
скрытый: скрытые
хиротония: хиротония
информация: информация
служебный: служебные
папа: папа
другой: других
сообщить: сообщить
версия: версия
который: которое
избранный: избранные
статистика: статистика
ксаверий: ксаверий
вспомогательный: вспомогательным
кэйлэя: кэйлэя
чэньпин: чэньпин
отдельный: отдельных
лицензия: лицензии
отказ: отказ
проект: проектах
сюй: сюй
биографический: биографические
перейти: перейти
сохранение: сохранением
свободный: свободной
англ: англ
указание: указанием
конфиденциальность: конфиденциальности
станислав: станиславом
июль: июля
связанный: связанные
навигация: навигации навигация
чжун: чжун
ло: ло
ещё: ещё
связаться: свяжитесь
поведение: поведения
хунцзь: хунцзи
разработчик: разработчики
дополнительный: дополнительные
китайский: китайская
упр: упр
рождение: рождение
предшественник: предшественник
последний: последний
цитировать: цитировать
организация: организации
павел: павел
пиньинь: пиньинь
март: марта
зарегистрировать: зарегистрированный
фонд: фонд
политика: политика
мочь: могут
просмотр: просмотры
править: править
