войти: войти
происхождение: происхождения
действовать: действовать
подробный: подробнее
начало: начале
декабрь: декабря
статья: статьи статью статья
ошибка: ошибке
описание: описание
авторство: авторства
материал: материал
фр: фр
многозначный: многозначное
заглавный: заглавная
французский: французская французский французского
содержание: содержание
поиск: поиск поиску
обсуждение: обсуждение
кук: куки
свежий: свежие
ссылка: ссылка ссылками ссылки ссылку
смотреть: см
код: код
инструмент: инструменты
проект: проект проектах
справка: справка
новый: новые
страница: страница странице страницу страницы
департамент: департаменте
участие: участие
элемент: элемент
также: также
условие: условий условия
читать: читать
запись: запись
форум: форум
слово: слова слово
мы: нами
представиться: представились
википедия: википедии википедия
этот: эта
вернуться: вернитесь
текущий: текущие
автоспортивный: автоспортивный
создать: создать
список: список
правка: правки
имя: имён
текст: текст
кодекс: кодекс
история: история
печать: печати
постоянный: постоянная
название: названия названиям
мобильный: мобильная
викидать: викиданных
де: де
алфавит: алфавиту
энциклопедия: энциклопедии
пространство: пространства
русский: русский
пожертвовать: пожертвовать
нужный: нужную
доступный: доступен
знак: знак
язык: языках
источник: источник
некоммерческий: некоммерческой
учётный: учётную
событие: события
категория: категория
получить: получить
короткий: короткий
сообщество: сообщество
заявление: заявление
случай: случаях
сюда: сюда
скачать: скачать
уточнить: уточните
товарный: товарный
викимедиа: викимедиа
ответственность: ответственности
вклад: вклад
использование: использования
шонака: шонак
персональный: персональные
случайный: случайная
отредактировать: отредактирована
система: системе
сведение: сведения
соответствующий: соответствующие
служебный: служебные
попасть: попали
другой: других
сообщить: сообщить
версия: версия
избранный: избранные
статистика: статистика
себастьян: себастьян
отдельный: отдельных
лицензия: лицензии
отказ: отказ
перейти: перейти
сохранение: сохранением
свободный: свободной
коммуна: коммуна
юг: юг
указание: указанием
указывать: указывала
конфиденциальность: конфиденциальности
деятель: деятель
связанный: связанные
навигация: навигации навигация
ещё: ещё
связаться: свяжитесь
поведение: поведения
теннисист: теннисист
разработчик: разработчики
пожалуйста: пожалуйста
шаранта: шаранта
дополнительный: дополнительные
последний: последний
цитировать: цитировать
примечание: примечания
организация: организации
приморский: приморская
словосочетание: словосочетания
зарегистрировать: зарегистрированный
фонд: фонд
политика: политика
значение: значений
мочь: могут
просмотр: просмотры
править: править
