войти: войти
действовать: действовать
подробный: подробнее
одноимённый: одноимённых
начало: начале
декабрь: декабря
статья: статьи статью статья
ошибка: ошибке
картина: картина картинах картине картины
описание: описание
магритта: магритта
авторство: авторства
материал: материал
заглавный: заглавная
конкретный: конкретной
содержание: содержание
поиск: поиск поиску
обсуждение: обсуждение
кук: куки
свежий: свежие
смотреть: см
код: код
инструмент: инструменты
жерар: жерара
проект: проект проектах
справка: справка
новый: новые
страница: страница странице страницу страницы
участие: участие
элемент: элемент
ссылка: ссылка ссылки ссылку
также: также
условие: условий условия
читать: читать
запись: запись
форум: форум
мы: нами
представиться: представились
википедия: википедии википедия
этот: эта
вернуться: вернитесь
текущий: текущие
шинар: шинара
создать: создать
список: список
правка: правки
имя: имён
текст: текст
портрет: портрет портретов
кодекс: кодекс
история: история
печать: печати
около: ок
постоянный: постоянная
название: название названия названиям
мобильный: мобильная
викидать: викиданных
алфавит: алфавиту
гро: гро
энциклопедия: энциклопедии
пространство: пространства
русский: русский
пожертвовать: пожертвовать
доступный: доступен
жозефа: жозефа
скульптура: скульптура
знак: знак
язык: языках
источник: источник
некоммерческий: некоммерческой
учётный: учётную
событие: события
давид: давида
получить: получить
короткий: короткий
сообщество: сообщество
заявление: заявление
случай: случаях
сюда: сюда
скачать: скачать
уточнить: уточните
товарный: товарный
викимедиа: викимедиа
ответственность: ответственности
вклад: вклад
использование: использования
персональный: персональные
случайный: случайная
отредактировать: отредактирована
система: системе
категория: категории
сведение: сведения
служебный: служебные
попасть: попали
другой: других
морена: морен
сообщить: сообщить
версия: версия
избранный: избранные
статистика: статистика
отдельный: отдельных
лицензия: лицензии
отказ: отказ
дежуэн: дежуэна
перейти: перейти
сохранение: сохранением
свободный: свободной
бюст: бюст
жюльетта: жюльетт
англ: англ
рен: рене
указывать: указывала
указание: указанием
конфиденциальность: конфиденциальности
мадам: мадам
связанный: связанные
навигация: навигации навигация
ещё: ещё
связаться: свяжитесь
поведение: поведения
рекамье: рекамье
разработчик: разработчики
пожалуйста: пожалуйста
дополнительный: дополнительные
добавить: добавить
стать: статей
последний: последний
цитировать: цитировать
жюли: жюли
примечание: примечания
организация: организации
зарегистрировать: зарегистрированный
фонд: фонд
политика: политика
перспектива: перспектива
значение: значений
ряд: ряда
мочь: могут
просмотр: просмотры
править: править
