войти: войти
действовать: действовать
подробный: подробнее
одноимённый: одноимённых
начало: начале
статья: статьи статью статья
ошибка: ошибке
конкретный: конкретном
описание: описание
чаджявица: чаджявица
авторство: авторства
материал: материал
заглавный: заглавная
содержание: содержание
поиск: поиск поиску
февраль: февраля
обсуждение: обсуждение
кук: куки
свежий: свежие
смотреть: см
код: код
инструмент: инструменты
проект: проект проектах
справка: справка
новый: новые
страница: страница странице страницу страницы
участие: участие
элемент: элемент
ссылка: ссылка ссылки ссылку
также: также
условие: условий условия
читать: читать
запись: запись
форум: форум
мы: нами
представиться: представились
википедия: википедии википедия
этот: эта
вернуться: вернитесь
текущий: текущие
биелина: биелина
село: село
населить: населённом населённых
создать: создать
список: список
правка: правки
имя: имён
текст: текст
кодекс: кодекс
история: история
печать: печати
постоянный: постоянная
община: общине
название: названия названиям
босния: босния
мобильный: мобильная
викидать: викиданных
алфавит: алфавиту
энциклопедия: энциклопедии
пространство: пространства
русский: русский
пожертвовать: пожертвовать
доступный: доступен
знак: знак
пункт: пунктах пункте пункты
язык: языках
источник: источник
некоммерческий: некоммерческой
учётный: учётную
событие: события
получить: получить
республика: республики
короткий: короткий
сообщество: сообщество
заявление: заявление
случай: случаях
сюда: сюда
скачать: скачать
уточнить: уточните
товарный: товарный
викимедиа: викимедиа
ответственность: ответственности
сербский: сербской
вклад: вклад
српски: српски
использование: использования
персональный: персональные
случайный: случайная
отредактировать: отредактирована
система: системе
категория: категории
сведение: сведения
населённый: населённые
служебный: служебные
попасть: попали
другой: других
сообщить: сообщить
версия: версия
избранный: избранные
статистика: статистика
отдельный: отдельных
лицензия: лицензии
отказ: отказ
перейти: перейти
сохранение: сохранением
свободный: свободной
указание: указанием
указывать: указывала
конфиденциальность: конфиденциальности
герцеговина: герцеговина
связанный: связанные
навигация: навигации навигация
ещё: ещё
связаться: свяжитесь
поведение: поведения
разработчик: разработчики
пожалуйста: пожалуйста
дополнительный: дополнительные
стать: статей
топоним: топоним
последний: последний
цитировать: цитировать
примечание: примечания
организация: организации
зарегистрировать: зарегистрированный
фонд: фонд
политика: политика
значение: значений
мочь: могут
просмотр: просмотры
править: править
