войти: войти
действовать: действовать
подробный: подробнее
начало: начале
статья: статьи статью статья
ошибка: ошибке
описание: описание
авторство: авторства
материал: материал
жених: жених
заглавный: заглавная
содержание: содержание
поиск: поиск поиску
обсуждение: обсуждение
кук: куки
свежий: свежие
ссылка: ссылка ссылками ссылки ссылку
полиб: полиба
смотреть: см
код: код
инструмент: инструменты
проект: проект проектах
справка: справка
новый: новые
страница: страница странице страницу страницы
участие: участие
типичный: типичный
элемент: элемент
также: также
условие: условий условия
читать: читать
запись: запись
форум: форум
мы: нами
представиться: представились
википедия: википедии википедия
этот: эта
вернуться: вернитесь
текущий: текущие
создать: создать
список: список
правка: правки
имя: имён
текст: текст
кодекс: кодекс
история: история
печать: печати
постоянный: постоянная
название: названия названиям
мобильный: мобильная
викидать: викиданных
алфавит: алфавиту
энциклопедия: энциклопедии
пространство: пространства
юпитер: юпитера
русский: русский
пожертвовать: пожертвовать
нужный: нужную
доступный: доступен
троянский: троянский
знак: знак
язык: языках
источник: источник
некоммерческий: некоммерческой
учётный: учётную
событие: события
категория: категория
получить: получить
персонаж: персонажей
короткий: короткий
сообщество: сообщество
заявление: заявление
случай: случаях
сюда: сюда
скачать: скачать
уточнить: уточните
товарный: товарный
викимедиа: викимедиа
май: мая
ответственность: ответственности
планета: планеты
вклад: вклад
двигаться: движущийся
впереди: впереди
использование: использования
персональный: персональные
случайный: случайная
слово: слова
отредактировать: отредактирована
система: системе
сведение: сведения
соответствующий: соответствующие
служебный: служебные
попасть: попали
другой: других
сообщить: сообщить
версия: версия
избранный: избранные
статистика: статистика
отдельный: отдельных
лицензия: лицензии
отказ: отказ
перейти: перейти
сохранение: сохранением
свободный: свободной
указание: указанием
указывать: указывала
конфиденциальность: конфиденциальности
точка: точке
связанный: связанные
навигация: навигации навигация
ещё: ещё
связаться: свяжитесь
поведение: поведения
разработчик: разработчики
пожалуйста: пожалуйста
дополнительный: дополнительные
добавить: добавить
одиссей: одиссеи
астероид: астероид
последний: последний
цитировать: цитировать
эврим: эвримах
примечание: примечания
организация: организации
словосочетание: словосочетания
зарегистрировать: зарегистрированный
фонд: фонд
политика: политика
значение: значений
пенелопа: пенелопы
мочь: могут
просмотр: просмотры
лагранж: лагранжа
править: править
