мы: нами
лозовый: лозово
административный: административное административные административный административных
отказ: отказ
виница: виница
событияпожертвовать: событияпожертвовать
системеобсуждениевкладсоздать: системеобсуждениевкладсоздать
штип: штип
општина: општина
теарец: теарце
община: община общине общины
перепись: переписи
македонец: македонцы
результат: результаты
липковый: липково
карта: картами
пехчево: пехчево
сопишта: сопиште
населить: населённых
чашка: чашка
егуновца: егуновце
сообщить: сообщить
друговый: другово
студеничани: студеничани
гостивар: гостивар
василевый: василево
кавадарци: кавадарци
кичево: кичево
деление: деление деления
петровец: петровец
серб: сербы
лицензия: лицензии
кодистория: кодистория
связаться: свяжитесь
указание: указанием
пространство: пространства
викисклад: викискладе
код: код
страницецитировать: страницецитировать
общинаобщина: общинаобщина
албанец: албанцы
пелагонийский: пелагонийский
зелениковый: зелениково
неготин: неготино
градоначальник: градоначальник
викимедиа: викимедиа
село: село
мавровый: маврово
страница: страница страницы
свободный: свободной
страницыслужебный: страницыслужебные
официальный: официальный
пробиштип: пробиштип
струг: струга
ссылка: ссылки
статья: статьи
беларускать: беларуская
энциклопедия: энциклопедии
боговинья: боговинье
читатьправитьправить: читатьправитьправить
карпош: карпош
некоммерческий: некоммерческой
география: география
статьяобсуждение: статьяобсуждение
беровый: берово
кривогаштань: кривогаштани
тетовый: тетово
центр: центр
ещё: ещё
страна: страна страны
конфиденциальность: конфиденциальности
правкиновое: правкиновые
смотреть: см
дебарец: дебарца
викидать: викиданных
персональный: персональные
пункт: пунктов
перейти: перейти
кочани: кочани
широта: ш
прилепа: прилеп
русский: русский
мочь: могут
условие: условий условия
примечание: примечания
зрновци: зрновци
страницасодержаниеизбрать: страницасодержаниеизбранные
дополнить: дополнив
босиловый: босилово
новаци: новаци
м: м
пласница: пласница
чаир: чаир
территория: территории
городской: городские
бутело: бутел
идентификатор: идентификаторы
навигация: навигации навигация
стев: стево
росоман: росоман
население: население населения
помочь: помогите
ростушить: ростуша
товарный: товарный
цифровой: цифровые
чел: чел
илинден: илинден
авторство: авторства
значение: значения
юг: юге
зарегистрировать: зарегистрированный
википедия: википедии википедия
её: её
материал: материал
заготовка: заготовка
заглавный: заглавная
год: год года
статьятекущий: статьятекущие
остальной: остальные
правкипостоянный: правкипостоянная
статьисообществофорумсправкасвежий: статьисообществофорумсправкасвежие
поведение: поведения
северный: северная северной
кук: куки
другой: другие других
валандовый: валандово
скопье: скопье
македония: македонии македония
февраль: февраля
отредактировать: отредактирована
июль: июля
ошибкекак: ошибкекак
печать: печати
человек: человека
часовой: часовой
крушевый: крушево
богданци: богданци
битол: битола
дебар: дебар
включать: включает
атд: атд
политика: политика
последний: последний последняя
прошлый: прошлом
статьислучайный: статьислучайная
статистика: статистика
сарай: сарай
имя: имён
записьвойти: записьвойти
действовать: действовать
история: история
вранештица: вранештица
доступный: доступен
герб: герб
дополнительный: дополнительные
медиафайл: медиафайлы
могила: могила
организация: организации
расположить: расположена
куманово: куманово
аэродром: аэродром
сайт: сайт
долненить: долнени
струмица: струмица
короткий: короткий
скачать: скачать
представиться: представились
случай: случаях
площадь: площадь
ранковца: ранковце
текст: текст
вевчани: вевчани
вобщина: вобщине
пояс: пояс
делчево: делчево
охрид: охрид
фонд: фонд
учётный: учётную
проект: проектах
гевгелий: гевгелия
это: это
единица: единице единицы
желиный: желино
этот: эта
турок: турки
заявление: заявление
поиск: поиск поиску
регион: регион
страницуполучить: страницуполучить
англ: англ
арачиново: арачиново
сохранение: сохранением
мобильный: мобильная
править: править
язык: языках
врапчишта: врапчиште
пивковск: пивковски
подробный: подробнее
разработчик: разработчики
знак: знак
флаг: флаг
описание: описание
сюдасвязанный: сюдасвязанные
отдельный: отдельных
цыган: цыгане
участие: участие
македонииобщинысеверный: македонииобщинысеверной
использование: использования
ответственность: ответственности
этнический: этническая
термин: термина
составлять: составляет
градско: градско
ресен: ресен
входить: входит
плотность: плотность
карбинци: карбинци
копия: копия
просмотр: просмотры
кодекс: кодекс
дойрана: дойран
радовиш: радовиш
версия: версия
годунезавершённый: годунезавершённые
существовать: существуют
структура: структура
брвеница: брвеница
категория: категории
единицахвикипедия: единицахвикипедия
велеса: велес
заясти: заяс
ссылкасведение: ссылкасведения
архивный: архивная
адм: адм
викискладэлемент: викискладэлемент
лето: летом
высота: высота
источник: источник
инструмент: инструменты
правка: правка
алфавитуобщина: алфавитуобщины
могиламакед: могиламакед
кратово: кратово
макед: макед
осломей: осломей
конкий: конче
македониискрыть: македониискрытые
