войти: войти
пенталия: пенталия
фёкла: феклы
омодос: омодос омодосе
вавть: вавла
действовать: действовать
подробный: подробнее
статья: статьи статья
год: год
ошибка: ошибке
ставровунь: ставровуни
описание: описание
авторство: авторства
чудотворец: чудотворца
ведение: ведении
ахераса: ахерас
материал: материал
остров: острове
заглавный: заглавная
монастырь: монастырей монастыри монастырь монастыря монастырях
платрес: платрес
наиболее: наиболее
содержание: содержание
век: век
мосфилотить: мосфилоти
поиск: поиск поиску
николай: николая
обсуждение: обсуждение
полуостров: полуостров
свежий: свежие
махер: махера
распределённый: распределённые
неофит: неофита
минфис: минфис
ставропигиальный: ставропигиальные
пафский: пафской
код: код
инструмент: инструменты
смотреть: см
синтить: синти
справка: справка
божий: божией
пантелеймон: пантелеймона
михаил: михаила
новый: новые
страница: страница странице страницу страницы
участие: участие
деревня: деревня
честной: честного
элемент: элемент
киккос: киккос
широта: ш
калопанайотис: калопанайотис
условие: условий условия
тамасский: тамасской
читать: читать
запись: запись
кипр: кипр кипра
форум: форум
список: списке списки список
википедия: википедии википедия
представиться: представились
апостол: апостола
этот: эта
мы: нами
панагия: панагия
лазание: лазанья
текущий: текущие
меландрин: меландрина
айя: айя
создать: создать
правка: правки
привести: приведены
имя: имён
кошачий: кошачьего
текст: текст
кодекс: кодекс
лампадист: лампадиста
история: история
морфский: морфской
ефрем: ефрема
печать: печати
неизв: неизв
координата: координаты
пантелеимона: пантелеимона
постоянный: постоянная
тримифунтский: тримифунтской
мобильный: мобильная
викидать: викиданных
киренийский: киренийской
энциклопедия: энциклопедии
пространство: пространства
богослов: богослова
православный: православной православные православных
русский: русский
киккский: киккского
пожертвовать: пожертвовать
варнава: варнавы
антифонитис: антифонитис
доступный: доступен
лимассольский: лимассольской
скрытый: скрытая
святой: святого святой святых
митрополия: митрополии митрополиям
церковь: церкви
аламанос: аламаноса
место: место
архиепархия: архиепархии
источник: источник
язык: языках
знак: знак
некоммерческий: некоммерческой
констанцский: констанцской
андрей: андрея
учётный: учётную
кипрский: кипрской
категория: категории категория
событие: события
получить: получить
рафаил: рафаила
кук: куки
короткий: короткий
нап: напа
сообщество: сообщество
случай: случаях
сюда: сюда
скачать: скачать
карта: картами
товарный: товарный
викимедиа: викимедиа
заявление: заявление
хрисокудралиотисс: хрисокудралиотисса
ответственность: ответственности
вклад: вклад
успение: успения
изображение: изображение
энгомь: энгоми
использование: использования
сооружение: сооружений
персональный: персональные
случайный: случайная
архангел: архангела
отредактировать: отредактирована
находиться: находится
икона: иконы
система: системе
подворье: подворье
ссылка: ссылка ссылки
амасг: амасгу
сведение: сведения
информация: информация
служебный: служебные
марина: марины
хрисороятисс: хрисороятисса
другой: других
сообщить: сообщить
версия: версия
избранный: избранные
лимасол: лимасол
статистика: статистика
тот: ту
мать: матери
отдельный: отдельных
основать: основан
лицензия: лицензии
отказ: отказ
троодос: троодос
проект: проектах
карпас: карпас
перейти: перейти
сохранение: сохранением
свободный: свободной
северный: северный
чёрный: чёрной
указание: указанием
трикуккиотисс: трикуккиотисса
конфиденциальность: конфиденциальности
расположить: расположенных
иоанн: иоанна
саламиотисс: саламиотисса
мина: мины
страна: странам
связанный: связанные
навигация: навигации навигация
известный: известные
ещё: ещё
связаться: свяжитесь
поведение: поведения
китийский: китийской
разработчик: разработчики
талый: тала
здание: зданий
дополнительный: дополнительные
гора: горы
кендея: кендея
множество: множество
спиридон: спиридона
георгий: георгия
последний: последний
преподобный: преподобного
цитировать: цитировать
троодитисс: троодитисса
ахиропиитос: ахиропиитос
организация: организации
ираклидий: ираклидия
катарон: катарон
январь: января
зарегистрировать: зарегистрированный
фонд: фонд
политика: политика
крест: креста
мочь: могут
просмотр: просмотры
сайт: сайте
серафим: серафима
саровский: саровского
предание: преданию
править: править
