мы: нами
упить: упей
башкирский: башкирские башкирского
албан: албаны
родовой: родовых
рапатовый: рапатово
категория: категории категория
хыргысый: хыргысы
тубалар: тубалары
сальют: сальюты
тора: торе
таныпский: таныпской
использовать: использующие
табын: табын табыны
хягас: хягасы
локаец: локайцы
суаны: суаны
гунн: гунны
дурмена: дурмены
могол: моголы
тело: теле
энциклопедия: энциклопедии энциклопедия
каршин: каршин
айле: айле
дуло: дулу
носитель: носителей
версияправитьправить: версияправитьправить
азино: азино
правкиновое: правкиновые
хоро: хоро
поселение: поселения
перейти: перейти
дуван: дуван дуваны
примечание: примечания
страницасодержаниеизбрать: страницасодержаниеизбранные
байталла: байталлы
уйсуна: уйсуны
группа: группа группой группы
межа: межи
казах: казахи
танып: танып
навигация: навигации навигация
элемент: элемент
растерять: растеряли
авар: авары
страница: страница страницы
адай: адай
отличаться: отличаться
катать: катай
кыпсак: кыпсак кыпсаки
калмашбашево: калмашбашево
река: реке реки
википедия: википедии википедия
жданко: жданко
фирузкуха: фирузкухи
сяньби: сяньби
джемшида: джемшиды
статьятекущий: статьятекущие
год: года
тамьяна: тамьян
иметь: имела
кантон: кантона
статьисообществофорумсправкасвежий: статьисообществофорумсправкасвежие
компонент: компонент
шеркеш: шеркеш
минг: минг минги
баяндыра: баяндыр
афшара: афшары
печать: печати
кызылкурт: кызылкурт
кес: кесе
атыгай: атыгай
жакаим: жакаим
земля: земель земли
роды: роды
жаппас: жаппас
политика: политика
ойхор: ойхоры
уаки: уаки
дорога: дороги
записьвойти: записьвойти
граничить: граничили
расмекеево: расмекеево
тувинец: тувинцы
дополнительный: дополнительные
кошс: кошсы
сырза: сырзы
казахский: казахские
дуванейцов: дуванейцов
шум: шум
саитовый: саитово
бишуть: бишул
качинец: качинцы
абак: абак
кыпчак: кыпчаки
русифицировать: русифицированной
хакас: хакасы
фонд: фонд
библиография: библиография
башкортостан: башкортостана
краткий: краткая
кушать: кушаны
находиться: находились
поиск: поиск поиску
асфандияр: асфандияров
унларец: унларцы
страницуполучить: страницуполучить
янгузин: янгузин
юэбанить: юэбань
бакаево: бакаево
язык: языках
тамьян: тамьяны
связать: связана
народ: народа
правобережный: правобережные
бадрака: бадрак
ногай: ногаи
чуметь: чуми
просмотр: просмотры
огуза: огузы
аргын: аргыны
ссылкасведение: ссылкасведения
баганал: баганалы
шегендык: шегендык
уранец: уранцы
действовать: действовать
кантонный: кантонному
кидарита: кидариты
отказ: отказ
уваныш: уваныш
событияпожертвовать: событияпожертвовать
башкир: башкир
тан: тана
баят: баяты
племенаэтнос: племенаэтносы
куандык: куандык
канл: канлы
канжыгала: канжыгалы
каржас: каржас
проверка: проверки
кият: кияты
ыст: ысты
барг: баргы
уфа: уфа
половина: половине
басмылый: басмылы
указание: указанием
кубанский: кубанские
викимедиа: викимедиа
кунграт: кунграты
читатьтекущий: читатьтекущая
таз: таз
правка: правок
свободный: свободной
л: л
тама: тама
кеево: кеево
волшебный: волшебные
некоммерческий: некоммерческой
толенгит: толенгиты
содержание: содержание
расселение: расселение расселения
балта: балта
унгута: унгуты
оттоман: оттоманы
елана: елан
есентемир: есентемир
ошакт: ошакты
персональный: персональные
условие: условий условия
сопредельный: сопредельных
мангыть: мангыты
майман: майманы
следующий: следующие
тофалар: тофалары
территория: территории территорий
бурзян: бурзян
кураминец: кураминцы
кайя: кайи
источник: источник источниках
салъть: салъют
белый: белой
авторство: авторства
юг: юге югу
тобасец: тобасцы
каратай: каратай
киргиз: киргиз киргизы
катаган: катаганы
её: её
правкипостоянный: правкипостоянная
материал: материал
костромской: костромские
другой: другие других
сагайец: сагайцы
название: название
ельдяк: ельдяк
дуванейский: дуванейская дуванейской
отредактировать: отредактирована
ошибкекак: ошибкекак
добавить: добавить
кубоу: кубоу
ергенект: ергенекты
алты: алты
памирский: памирские
юз: юзы
кимаки: кимаки
сосед: соседями
имя: имён
чубанить: чубань
крымский: крымские
табынский: табынской
калмаки: калмаки
берш: берш
жалайыр: жалайыры
короткий: короткий
тюмена: тюмены
монолдора: монолдоры
представиться: представились
являться: является
сесть: сел
волость: волости волость волостью волостями
июнь: июня
версия: версии версия
ирэкт: ирэкте
учётный: учётную
хионит: хиониты
сиргель: сиргели
алимул: алимулы
кувакан: кувакан
этот: эта этому
сеяньто: сеяньто
основной: основной
барын: барыны
кырка: кырки
значительно: значительно
подробный: подробнее
разработчик: разработчики
знак: знак
уходить: уходили
усёргать: усерган
отдельный: отдельных
использование: использования
еланец: еланцы
бикатин: бикатин
ногаец: ногайцы
шанышкылый: шанышкылы
шымыр: шымыр
уна: ун
