войти: войти
действовать: действовать
подробный: подробнее
сергей: сергей
статья: статьи статью статья
анатолий: анатолий
ошибка: ошибке
носитель: носители
конкретный: конкретном
описание: описание
авторство: авторства
материал: материал
наука: наук
заглавный: заглавная
владимир: владимир
содержание: содержание
поиск: поиск поиску
герой: герой
обсуждение: обсуждение
кук: куки
свежий: свежие
смотреть: см
код: код
инструмент: инструменты
проект: проект проектах
справка: справка
новый: новые
страница: страница странице страницу страницы
участие: участие
доцент: доцент
российский: российский
элемент: элемент
ссылка: ссылка ссылки ссылку
также: также
условие: условий условия
читать: читать
запись: запись
форум: форум
мы: нами
представиться: представились
википедия: википедии википедия
этот: эта
вернуться: вернитесь
текущий: текущие
государственный: государственный
советский: советский
василиевич: васильевич
список: список
создать: создать
правка: правки
имя: имён
текст: текст
кодекс: кодекс
однофамилец: однофамильцах однофамильцы
история: история
печать: печати
постоянный: постоянная
токарь: токарь
человек: человеке
название: названиям
мобильный: мобильная
викидать: викиданных
курылёва: курылёв
алфавит: алфавиту
энциклопедия: энциклопедии
пространство: пространства
русский: русский
пожертвовать: пожертвовать
хозяйственный: хозяйственный
доступный: доступен
знак: знак
язык: языках
источник: источник
профессор: профессор
некоммерческий: некоммерческой
учётный: учётную
событие: события
получить: получить
короткий: короткий
сообщество: сообщество
поэт: поэт
случай: случаях
сюда: сюда
скачать: скачать
уточнить: уточните
товарный: товарный
викимедиа: викимедиа
заявление: заявление
юридический: юридических
май: мая
ответственность: ответственности
вклад: вклад
социалистический: социалистического
использование: использования
персональный: персональные
случайный: случайная
отредактировать: отредактирована
система: системе
иванович: иванович
категория: категории
сведение: сведения
труд: труда
служебный: служебные
попасть: попали
другой: других
сообщить: сообщить
версия: версия
избранный: избранные
статистика: статистика
отдельный: отдельных
лицензия: лицензии
отказ: отказ
перейти: перейти
сохранение: сохранением
свободный: свободной
указание: указанием
указывать: указывала
конфиденциальность: конфиденциальности
юриевич: юрьевич
деятель: деятель
связанный: связанные
навигация: навигации навигация
известный: известные
ещё: ещё
связаться: свяжитесь
поведение: поведения
разработчик: разработчики
родиться: род
пожалуйста: пожалуйста
дополнительный: дополнительные
добавить: добавить
стать: статей
политический: политический
последний: последний
цитировать: цитировать
фамилия: фамилия
примечание: примечания
организация: организации
зарегистрировать: зарегистрированный
фонд: фонд
политика: политика
значение: значений
мочь: могут
просмотр: просмотры
существующий: существующих
доктор: доктор
вадим: вадим
композитор: композитор
править: править
